mode,s_test,seed,active_fraction
baseline,0.02,1,0.0
baseline,0.02,2,0.0
baseline,0.02,3,0.0
baseline,0.04,1,0.0
baseline,0.04,2,0.0
baseline,0.04,3,0.0
baseline,0.06,1,0.0
baseline,0.06,2,0.0
baseline,0.06,3,0.0
baseline,0.08,1,0.0
baseline,0.08,2,0.0
baseline,0.08,3,0.0
baseline,0.1,1,0.0
baseline,0.1,2,0.0
baseline,0.1,3,0.0
baseline,0.12,1,1.0
baseline,0.12,2,1.0
baseline,0.12,3,1.0
baseline,0.14,1,1.0
baseline,0.14,2,1.0
baseline,0.14,3,1.0
preconditioned,0.02,1,1.0
preconditioned,0.02,2,1.0
preconditioned,0.02,3,1.0
preconditioned,0.04,1,1.0
preconditioned,0.04,2,1.0
preconditioned,0.04,3,1.0
preconditioned,0.06,1,1.0
preconditioned,0.06,2,1.0
preconditioned,0.06,3,1.0
preconditioned,0.08,1,1.0
preconditioned,0.08,2,1.0
preconditioned,0.08,3,1.0
preconditioned,0.1,1,1.0
preconditioned,0.1,2,1.0
preconditioned,0.1,3,1.0
preconditioned,0.12,1,1.0
preconditioned,0.12,2,1.0
preconditioned,0.12,3,1.0
preconditioned,0.14,1,1.0
preconditioned,0.14,2,1.0
preconditioned,0.14,3,1.0
